Route;Passengers per Revenue Hour;Cost per Passenger;Vehicle Hours;Vehicle Miles;Peak Vehicles;Avg. Weekday Passengers;Annual Passengers;Operating Ratio;Passenger Revenue;Fully Allocated Expenses;Type
90;13.7;$7.20;11,471;137,801;3;439;127,310;18%;$195,421;$1,112,383;Suburban Bus
92;8.3;$13.92;14,041;270,538;3;327;94,830;10%;$145,564;$1,465,280;Suburban Bus
93;18.1;$5.38;26,571;467,920;6;1,306;391,800;23%;$621,413;$2,731,089;Suburban Bus
94;16.6;$5.10;11,431;199,324;1;514;154,200;23%;$236,697;$1,022,577;Suburban Bus
95;9.5;$11.12;19,712;253,136;5;524;151,960;12%;$233,259;$1,923,691;Suburban Bus
96;16.8;$5.26;29,168;373,510;6;1,339;399,250;23%;$612,849;$2,712,885;Suburban Bus
97;15.2;$5.63;15,879;177,795;3;656;196,800;21%;$301,381;$1,409,878;Suburban Bus
98;22.2;$3.72;15,997;180,518;4;961;288,300;29%;$442,541;$1,514,851;Suburban Bus
99;16.4;$5.98;29,174;439,285;7;1,301;387,850;20%;$595,350;$2,915,371;Suburban Bus
103;31.1;$2.81;15,360;139,662;4;1,362;428,432;32%;$577,526;$1,782,769;Suburban Bus
106;26.1;$4.04;15,988;177,901;5;1,251;373,559;25%;$503,558;$2,011,908;Suburban Bus
107;18.8;$5.86;18,478;207,485;5;1,042;311,277;19%;$419,601;$2,242,883;Suburban Bus
115;17.9;$5.86;23,018;316,828;4;1,174;369,397;19%;$497,947;$2,662,217;Suburban Bus
117;18.9;$5.47;36,854;525,832;6;1,984;623,737;20%;$840,797;$4,254,193;Suburban Bus
118;15.7;$6.87;10,890;142,973;2;511;153,039;16%;$206,297;$1,257,824;Suburban Bus
119;14.4;$7.91;16,807;257,798;3;687;216,479;15%;$291,814;$2,004,546;Suburban Bus
126;20.9;$5.13;10,715;116,162;3;638;201,122;21%;$271,112;$1,303,567;Suburban Bus
127;11.9;$9.48;9,712;207,057;2;326;94,340;14%;$144,812;$1,039,122;Suburban Bus
128;11.3;$10.61;12,818;232,573;4;407;118,030;13%;$181,176;$1,432,975;Suburban Bus
129;16.2;$5.93;21,607;426,680;3;946;283,800;21%;$435,633;$2,119,399;Suburban Bus
130;12.5;$8.49;18,537;325,446;4;627;188,100;15%;$288,734;$1,886,163;Suburban Bus
131;19.3;$4.02;12,209;96,990;3;669;191,560;29%;$314,045;$1,084,279;Suburban Bus
132;11.5;$8.60;11,840;191,482;2;383;111,070;15%;$170,492;$1,125,533;Suburban Bus
139;11.2;$9.65;13,021;218,841;3;409;118,610;14%;$182,066;$1,326,834;Suburban Bus
2;30.4;$3.90;52,231;397,600;14;4,881;1,464,300;24%;$1,763,017;$7,472,185;City Bus
3;45;$2.15;57,207;451,590;14;7,909;2,372,700;36%;$2,856,731;$7,956,254;City Bus
4;39.3;$2.74;58,053;541,912;14;7,007;2,102,100;31%;$2,530,928;$8,289,285;City Bus
5;31.6;$3.73;34,864;295,840;9;3,386;1,015,800;24%;$1,223,023;$5,009,936;City Bus
6;52.7;$1.50;36,717;266,560;8;5,944;1,783,200;45%;$2,146,973;$4,829,478;City Bus
7;31.1;$3.55;51,214;463,670;11;4,895;1,468,500;25%;$1,768,074;$6,987,146;City Bus
